Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID,Publication Type,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Source Title,Book Series Title,Book Series Subtitle,Language,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record,Venue,Citations
Di X.; Lew D.J.; Nam K.W.,"Di, Xuejing (58246838600); Lew, Dong June (58246622800); Nam, Kwang Woo (36537449800)",58246838600; 58246622800; 36537449800,Discovering Homogeneous Groups from Geo-Tagged Videos,2023.0,Sensors,23,9,4443,,,,0.0,10.3390/s23094443,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159164493&doi=10.3390%2fs23094443&partnerID=40&md5=b07668ad712720e8414a14a072ae0f61,Article,Scopus,2-s2.0-85159164493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhang X.; Liu X.,"Zhang, Xuepu (59161221100); Liu, Xin (56178862800)",59161221100; 56178862800,COVID-19 Risk Analysis Based on Population Migration Big Data: A Case Study of Wuhan,2023.0,ACM International Conference Proceeding Series,,,,940,946,6.0,0.0,10.1145/3656766.3656922,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195292926&doi=10.1145%2f3656766.3656922&partnerID=40&md5=259347ba8d44a1ebe0c694de2f00f2ef,Conference paper,Scopus,2-s2.0-85195292926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eswar S.; Srikanth S.; Ravi Shankar K.V.R.,"Eswar, Sala (57428420900); Srikanth, Seelam (57194610654); Ravi Shankar, K.V.R. (57193253075)",57428420900; 57194610654; 57193253075,ANALYSIS AND MODELING OF THE USER-PERCEIVED LEVEL OF SERVICE FOR FOOT OVER BRIDGE STAIRWAYS INSIDE INTERCITY RAILWAY STATIONS,2023.0,Jurnal Teknologi,85,1,,141,148,7.0,0.0,10.11113/jurnalteknologi.v85.18444,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144847028&doi=10.11113%2fjurnalteknologi.v85.18444&partnerID=40&md5=cde9b48a61ccdc5ed3a54b7baf3112e4,Article,Scopus,2-s2.0-85144847028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safarzadeh R.; Wang Y.; Sun S.; Wang X.,"Safarzadeh, Reza (58577383500); Wang, Yunli (55954520200); Sun, Sun (57225913920); Wang, Xin (56881795400)",58577383500; 55954520200; 57225913920; 56881795400,An Interactive Map-based System for Visually Exploring Goods Movement based on GPS Traces,2023.0,ACM International Conference Proceeding Series,,,,180,184,4.0,0.0,10.1145/3609956.3609975,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171288975&doi=10.1145%2f3609956.3609975&partnerID=40&md5=f38b841875b8fb8975aad12becb3469b,Conference paper,Scopus,2-s2.0-85171288975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lian T.; Loo B.P.Y.; Fan Z.,"Lian, Ting (58155306300); Loo, Becky P.Y. (7005145560); Fan, Zhuangyuan (57221167590)",58155306300; 7005145560; 57221167590,"Advances in estimating pedestrian measures through artificial intelligence: From data sources, computer vision, video analytics to the prediction of crash frequency",2024.0,"Computers, Environment and Urban Systems",107,,102057,,,,2.0,10.1016/j.compenvurbsys.2023.102057,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182179943&doi=10.1016%2fj.compenvurbsys.2023.102057&partnerID=40&md5=eba3739f4e8179a7c9b59329204d32c1,Article,Scopus,2-s2.0-85182179943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwon H.-J.; Ahn Y.-J.,"Kwon, Hyeong-Jun (57348850200); Ahn, Yong-Jin (57191923241)",57348850200; 57191923241,Analyzing Traffic Accident Factors in Large-scale Apartment Complexes: Insights from Seoul Using Poisson Regression,2024.0,Journal of the Architectural Institute of Korea,40,5,,119,126,7.0,0.0,10.5659/JAIK.2024.40.5.119,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195290062&doi=10.5659%2fJAIK.2024.40.5.119&partnerID=40&md5=32981c1b254a3ba2fcdbc894e115eebf,Article,Scopus,2-s2.0-85195290062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanté D.S.I.; Jebrane A.; Boukamel A.; Hakim A.,"Kanté, Dramane Sam Idris (58059491700); Jebrane, Aissam (57188553567); Boukamel, Adnane (6506522221); Hakim, Abdelilah (23106066500)",58059491700; 57188553567; 6506522221; 23106066500,Morocco’s population contact matrices: A crowd dynamics-based approach using aggregated literature data,2024.0,PLoS ONE,19,3 March,e0296740,,,,0.0,10.1371/journal.pone.0296740,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187862137&doi=10.1371%2fjournal.pone.0296740&partnerID=40&md5=8d0918c14c180f243528fa9c357b1fcc,Article,Scopus,2-s2.0-85187862137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel A.; Plaut P.,"Angel, Avital (57804579000); Plaut, Pnina (59157749300)",57804579000; 59157749300,Tempo-spatial analysis of pedestrian movement in the built environment based on crowdsourced big data,2024.0,Cities,149,,104917,,,,1.0,10.1016/j.cities.2024.104917,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186996195&doi=10.1016%2fj.cities.2024.104917&partnerID=40&md5=f15fc9ca86969a073e553faac3d10829,Article,Scopus,2-s2.0-85186996195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leveau L.M.; Bocelli M.L.; Quesada-Acuña S.G.; González-Lagos C.; Tapia P.G.; Dri G.F.; Delgado C.A.V.; Garitano-Zavala Á.; Campos J.; Benedetti Y.; Ortega-Álvarez R.; Rodríguez A.I.C.; López D.S.; Fontana C.S.; da Silva T.W.; Vargas S.S.Z.; Toledo M.C.B.; Sarquis J.A.; Giraudo A.; Echevarria A.L.; Fanjul M.E.; Martínez M.V.; Haedo J.; Sanz L.G.C.; Peña Y.; Fernandez V.; Marinero V.; Abilhoa V.; Amorin R.; Ibáñez J.F.E.; Juri M.D.; Camín S.; Marone L.; Piratelli A.J.; Franchin A.G.; Crispim L.; Morelli F.,"Leveau, Lucas M. (6506982397); Bocelli, Mariana Lucia (57992301100); Quesada-Acuña, Sergio Gabriel (57214473910); González-Lagos, César (24476022800); Tapia, Pablo Gutiérrez (57992171400); Dri, Gabriela Franzoi (57193139707); Delgado, Carlos A.V. (58038792300); Garitano-Zavala, Álvaro (27367995700); Campos, Jackeline (57980319600); Benedetti, Yanina (7801686675); Ortega-Álvarez, Rubén (36148208700); Rodríguez, Antonio Isain Contreras (58435580100); López, Daniela Souza (57992110400); Fontana, Carla Suertegaray (24491664400); da Silva, Thaiane Weinert (56489946000); Vargas, Sarah Sandri Zalewski (57992235300); Toledo, María Cecília Barbosa (22036945900); Sarquis, Juan Andres (57192881029); Giraudo, Alejandro (6701474395); Echevarria, Ada Lilian (7003369705); Fanjul, María Elisa (57207767875); Martínez, Maria Valeria (57213207817); Haedo, Josefina (55260759300); Sanz, Luis Gonzalo Cano (57212410614); Peña, Yuri (57945587300); Fernandez, Viviana (57196150178); Marinero, Verónica (57992360900); Abilhoa, Vinícius (22033757200); Amorin, Rafael (57195772287); Ibáñez, Juan Fernando Escobar (58038750500); Juri, María Dolores (57213830038); Camín, Sergio (6507098599); Marone, Luis (6701458492); Piratelli, Augusto João (14065107800); Franchin, Alexandre Gabriel (23984824400); Crispim, Larissa (57992235400); Morelli, Federico (26423100000)",6506982397; 57992301100; 57214473910; 24476022800; 57992171400; 57193139707; 58038792300; 27367995700; 57980319600; 7801686675; 36148208700; 58435580100; 57992110400; 24491664400; 56489946000; 57992235300; 22036945900; 57192881029; 6701474395; 7003369705; 57207767875; 57213207817; 55260759300; 57212410614; 57945587300; 57196150178; 57992360900; 22033757200; 57195772287; 58038750500; 57213830038; 6507098599; 6701458492; 14065107800; 23984824400; 57992235400; 26423100000,Bird diversity-environment relationships in urban parks and cemeteries of the Neotropics during breeding and non-breeding seasons,2022.0,PeerJ,10,,e14496,,,,3.0,10.7717/peerj.14496,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145345935&doi=10.7717%2fpeerj.14496&partnerID=40&md5=dbd8f606ee1a45fe936ded09502deff2,Article,Scopus,2-s2.0-85145345935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricardianto P.; Suryobuwono A.A.; Liana E.; Endri E.,"Ricardianto, Prasadja (57211374368); Suryobuwono, Abdullah Ade (57362987100); Liana, Esti (57877379400); Endri, Endri (57221734842)",57211374368; 57362987100; 57877379400; 57221734842,Implementation strategy of transit-oriented development based on the bus rapid transit system in Indonesia,2023.0,Decision Science Letters,12,3,,551,560,9.0,1.0,10.5267/dsl.2023.4.008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161953441&doi=10.5267%2fdsl.2023.4.008&partnerID=40&md5=6812e9873283f34158e6e69e66544000,Article,Scopus,2-s2.0-85161953441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
