Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID,Publication Type,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Source Title,Book Series Title,Book Series Subtitle,Language,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record,Venue,Citations
Angel A.; Plaut P.,"Angel, Avital (57804579000); Plaut, Pnina (59157749300)",57804579000; 59157749300,Tempo-spatial analysis of pedestrian movement in the built environment based on crowdsourced big data,2024.0,Cities,149,,104917,,,,1.0,10.1016/j.cities.2024.104917,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186996195&doi=10.1016%2fj.cities.2024.104917&partnerID=40&md5=f15fc9ca86969a073e553faac3d10829,Article,Scopus,2-s2.0-85186996195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takeda M.; Onishi M.,"Takeda, Mei (58886308200); Onishi, Masaki (7102474552)",58886308200; 7102474552,Generating large-scale human flow datasets from measured pedestrian movement data and simulation,2023.0,"Proceedings - 2023 IEEE International Conference on Big Data, BigData 2023",,,,4026,4030,4.0,0.0,10.1109/BigData59044.2023.10386284,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184985731&doi=10.1109%2fBigData59044.2023.10386284&partnerID=40&md5=1d64fa1c0aeafce796ff4704dd66ace3,Conference paper,Scopus,2-s2.0-85184985731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel A.; Plaut P.,"Angel, Avital (57804579000); Plaut, Pnina (59157749300)",57804579000; 59157749300,Pedestrian Movement and the Built Environment – A Big Data-Based Analysis,2023.0,Lecture Notes in Intelligent Transportation and Infrastructure,Part F1378,,,728,,,0.0,10.1007/978-3-031-23721-8_61,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171566990&doi=10.1007%2f978-3-031-23721-8_61&partnerID=40&md5=b7c19d8ada9a6b14f359c385c2807878,Book chapter,Scopus,2-s2.0-85171566990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dombalyan A.; Shatalova E.; Semchugova E.; Proskurina O.,"Dombalyan, Anzhelika (57193746116); Shatalova, Elena (57221743053); Semchugova, Elena (57193751198); Proskurina, Olesya (58134492700)",57193746116; 57221743053; 57193751198; 58134492700,Studying pedestrian flows to improve the Rostov-on-Don's intelligent transport system,2023.0,E3S Web of Conferences,371,,05023,,,,0.0,10.1051/e3sconf/202337105023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149683034&doi=10.1051%2fe3sconf%2f202337105023&partnerID=40&md5=3b649a7db95fd3023b02b6212f7ca917,Conference paper,Scopus,2-s2.0-85149683034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eom S.; Kim H.; Hasegawa D.; Yamada I.,"Eom, Sunyong (57210336845); Kim, Hongjik (57217593802); Hasegawa, Daisuke (57865026000); Yamada, Ikuho (35328694100)",57210336845; 57217593802; 57865026000; 35328694100,Pedestrian movement with large-scale GPS records and transit-oriented development attributes,2024.0,Sustainable Cities and Society,102,,105223,,,,2.0,10.1016/j.scs.2024.105223,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183199135&doi=10.1016%2fj.scs.2024.105223&partnerID=40&md5=ef9365fe4ff745b5ae79f90cf7220e7d,Article,Scopus,2-s2.0-85183199135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Istrate A.-L.,"Istrate, Aura-Luciana (57218542433)",57218542433,"Street Vitality: What Predicts Pedestrian Flows and Stationary Activities on Predominantly Residential Chinese Streets, at the Mesoscale?",2023.0,Journal of Planning Education and Research,,,,,,,1.0,10.1177/0739456X231184607,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165129029&doi=10.1177%2f0739456X231184607&partnerID=40&md5=c32161c1e256e9ff1772e2972f2dce25,Article,Scopus,2-s2.0-85165129029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alitaleshi A.; Jazayeriy H.; Kazemitabar J.,"Alitaleshi, Atefe (56770106600); Jazayeriy, Hamid (25825038100); Kazemitabar, Javad (15834715500)",56770106600; 25825038100; 15834715500,Indoor Pedestrian Trajectory Reconstruction Using Spatial–Temporal Error Correction and Dynamic Time Warping-Based Path Matching for Fingerprints Map Creation,2023.0,Arabian Journal for Science and Engineering,48,2,,2101,2119,18.0,1.0,10.1007/s13369-022-07095-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135864910&doi=10.1007%2fs13369-022-07095-8&partnerID=40&md5=ddc089eceb49dbdafcdc945e32974006,Article,Scopus,2-s2.0-85135864910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bansal A.; Agarwal A.; Lalit M.; Seeja K.R.,"Bansal, Adya (58409616700); Agarwal, Aroma (58406044900); Lalit, Muskan (57338962600); Seeja, K.R. (25653275800)",58409616700; 58406044900; 57338962600; 25653275800,Survey of Pedestrian Trajectory Prediction Techniques Using Surveillance Videos,2023.0,Lecture Notes in Electrical Engineering,1056 LNEE,,,623,629,6.0,0.0,10.1007/978-981-99-3656-4_64,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174546674&doi=10.1007%2f978-981-99-3656-4_64&partnerID=40&md5=068b4d2ab3cfa0a884e3028a6a8baaa2,Conference paper,Scopus,2-s2.0-85174546674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel A.; Cohen A.; Dalyot S.; Plaut P.,"Angel, Avital (57804579000); Cohen, Achituv (57217851830); Dalyot, Sagi (25822009300); Plaut, Pnina (59157749300)",57804579000; 57217851830; 25822009300; 59157749300,Impact of COVID-19 policies on pedestrian traffic and walking patterns,2023.0,Environment and Planning B: Urban Analytics and City Science,50,5,,1178,1193,15.0,9.0,10.1177/23998083221113332,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134231874&doi=10.1177%2f23998083221113332&partnerID=40&md5=a8dd118ebbd89e6d1131e2f38036cffe,Article,Scopus,2-s2.0-85134231874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shawket I.M.; Shaban R.M.,"Shawket, Indjy M. (42862351700); Shaban, Rasha M. (59047206300)",42862351700; 59047206300,"Unveiling the influence of urban revitalization on pedestrian flow and conduct: a case study in New Cairo, Egypt",2023.0,HBRC Journal,19,1,,141,159,18.0,0.0,10.1080/16874048.2023.2243197,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167327257&doi=10.1080%2f16874048.2023.2243197&partnerID=40&md5=8936e379d7908857fe05e3a010f0633a,Article,Scopus,2-s2.0-85167327257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamada T.; Utaka M.,"Yamada, Takashi (57219926609); Utaka, Michise (58017842000)",57219926609; 58017842000,Evaluating ticket gate directional restrictions using simulations of pedestrian flow considering stationary people in a railroad station concourse,2023.0,Journal of Asian Architecture and Building Engineering,22,4,,2058,2073,15.0,1.0,10.1080/13467581.2022.2153063,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144070024&doi=10.1080%2f13467581.2022.2153063&partnerID=40&md5=091f9b4a4be096e90632591f70213ff1,Article,Scopus,2-s2.0-85144070024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
