Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Huang, BQ; Mao, GQ; Qin, Y; Wei, Y",,,,"Huang, Baoqi; Mao, Guoqiang; Qin, Yong; Wei, Yun",,,Pedestrian Flow Estimation Through Passive WiFi Sensing,IEEE TRANSACTIONS ON MOBILE COMPUTING,,,,,,,,,,,,,,,,,"Mao, Guoqiang/Q-4196-2019","Mao, Guoqiang/0000-0002-3598-4949; Huang, Baoqi/0000-0003-4027-1756",,,,,,,,,,,,,1536-1233,1558-0660,,,,Apr-01,2021,20,4,,,,,1529,1542,,10.1109/TMC.2019.2959610,http://dx.doi.org/10.1109/TMC.2019.2959610,,,,,,,,,,,,,WOS:000626524300020,View Full Record in Web of Science
J,"Zhang, HF; Xi, BS",,,,"Zhang, Huifing; Xi, Bangshun",,,HETEROGENEOUS PEDESTRIAN TRAFFIC FLOW MODELLING AT SIGNALISED INTERSECTIONS,PROMET-TRAFFIC & TRANSPORTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0353-5320,1848-4069,,,,,2022,34,2,,,,,165,177,,,,,,,,,,,,,,,,WOS:000787740000001,View Full Record in Web of Science
J,"Angel, A; Cohen, A; Dalyot, S; Plaut, P",,,,"Angel, Avital; Cohen, Achituv; Dalyot, Sagi; Plaut, Pnina",,,Estimating pedestrian traffic with Bluetooth sensor technology,GEO-SPATIAL INFORMATION SCIENCE,,,,,,,,,,,,,,,,,,"Dalyot, Sagi/0000-0002-5639-8009; Cohen, Achituv/0000-0002-1357-8296",,,,,,,,,,,,,1009-5020,1993-5153,,,,2023 SEP 4,2023,,,,,,,,,,10.1080/10095020.2023.2247446,http://dx.doi.org/10.1080/10095020.2023.2247446,,Sep-23,,,,,,,,,,,WOS:001058860900001,View Full Record in Web of Science
J,"Eom, S; Kim, H; Hasegawa, D; Yamada, I",,,,"Eom, Sunyong; Kim, Hongjik; Hasegawa, Daisuke; Yamada, Ikuho",,,Pedestrian movement with large-scale GPS records and transit-oriented development attributes,SUSTAINABLE CITIES AND SOCIETY,,,,,,,,,,,,,,,,,,"Daisuke, Hasegawa/0000-0002-4854-6665; Eom, Sunyong/0000-0002-8164-7097",,,,,,,,,,,,,2210-6707,2210-6715,,,,MAR,2024,102,,,,,,,,105223,10.1016/j.scs.2024.105223,http://dx.doi.org/10.1016/j.scs.2024.105223,,Jan-24,,,,,,,,,,,WOS:001173590200001,View Full Record in Web of Science
J,"Angel, A; Cohen, A; Dalyot, S; Plaut, P",,,,"Angel, Avital; Cohen, Achituv; Dalyot, Sagi; Plaut, Pnina",,,Impact of COVID-19 policies on pedestrian traffic and walking patterns,ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE,,,,,,,,,,,,,,,,,,"Dalyot, Sagi/0000-0002-5639-8009; Cohen, Achituv/0000-0002-1357-8296; Angel, Avital/0000-0001-5005-0100",,,,,,,,,,,,,2399-8083,2399-8091,,,,JUN,2023,50,5,,,SI,,1178,1193,,10.1177/23998083221113332,http://dx.doi.org/10.1177/23998083221113332,,Jul-22,,,,,,38603178,,,,,WOS:000823186600001,View Full Record in Web of Science
J,"Angel, A; Plaut, P",,,,"Angel, Avital; Plaut, Pnina",,,Tempo-spatial analysis of pedestrian movement in the built environment based on crowdsourced big data,CITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0264-2751,1873-6084,,,,JUN,2024,149,,,,,,,,104917,10.1016/j.cities.2024.104917,http://dx.doi.org/10.1016/j.cities.2024.104917,,Mar-24,,,,,,,,,,,WOS:001203233800001,View Full Record in Web of Science
J,"Papathanasopoulou, V; Spyropoulou, I; Perakis, H; Gikas, V; Andrikopoulou, E",,,,"Papathanasopoulou, Vasileia; Spyropoulou, Ioanna; Perakis, Harris; Gikas, Vassilis; Andrikopoulou, Eleni",,,A Data-Driven Model for Pedestrian Behavior Classification and Trajectory Prediction,IEEE OPEN JOURNAL OF INTELLIGENT TRANSPORTATION SYSTEMS,,,,,,,,,,,,,,,,,"Papathanasopoulou, Vasileia/JQI-8851-2023","spyropoulou, ioanna/0000-0001-7801-3395; Perakis, Harris/0000-0003-4574-1091",,,,,,,,,,,,,,2687-7813,,,,,2022,3,,,,,,328,339,,10.1109/OJITS.2022.3169700,http://dx.doi.org/10.1109/OJITS.2022.3169700,,,,,,,,,,,,,WOS:000791755300001,View Full Record in Web of Science
J,"Golchoubian, M; Ghafurian, M; Dautenhahn, K; Azad, NL",,,,"Golchoubian, Mahsa; Ghafurian, Moojan; Dautenhahn, Kerstin; Azad, Nasser Lashgarian",,,Pedestrian Trajectory Prediction in Pedestrian-Vehicle Mixed Environments: A Systematic Review,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,,,,,,,,,,,,,,,,,,", Nasser/0000-0003-1412-7961",,,,,,,,,,,,,1524-9050,1558-0016,,,,NOV,2023,24,11,,,,,11544,11567,,10.1109/TITS.2023.3291196,http://dx.doi.org/10.1109/TITS.2023.3291196,,Jul-23,,,,,,,,,,,WOS:001030677000001,View Full Record in Web of Science
J,"Chen, Y; Yang, JQ",,,,"Chen, Yue; Yang, Jianqiang",,,Historic Neighborhood Design Based on Facility Heatmap and Pedestrian Simulation: Case Study in China,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0733-9488,1943-5444,,,,Jun-01,2020,146,2,,,,,,,4020001,10.1061/(ASCE)UP.1943-5444.0000554,http://dx.doi.org/10.1061/(ASCE)UP.1943-5444.0000554,,,,,,,,,,,,,WOS:000530381600014,View Full Record in Web of Science
J,"Chen, J; Song, SJ; Liu, ZH",,,,"Chen, Jian; Song, Shaojing; Liu, Zhihui",,,A PDR/WiFi Indoor Navigation Algorithm Using the Federated Particle Filter,ELECTRONICS,,,,,,,,,,,,,,,,,,"Song, Shaojing/0000-0002-1194-6390; chen, Jian/0000-0003-0987-1665",,,,,,,,,,,,,,2079-9292,,,,OCT,2022,11,20,,,,,,,3387,10.3390/electronics11203387,http://dx.doi.org/10.3390/electronics11203387,,,,,,,,,,,,,WOS:000872648500001,View Full Record in Web of Science
